start
(n, e, d, ms) = (37497223241282842097, 21928269277845307087, 35402295861894777223, '40DUVlNZ')
(n, e, d, ms) = (37155844637646727457, 13388188311495727451, 9558288219292022735, 'nz2Z40kR')
(n, e, d, ms) = (24624349125662520109, 4750029824241329105, 20999255048417534321, 'ta2PLBUN')
(n, e, d, ms) = (24961011834435958091, 10013782148649920245, 16019475932471095645, 'bRxsq5Vq')
(n, e, d, ms) = (28618956742651021699, 20281920360206580601, 16743579411837870601, 'kVRPXT1T')
(n, e, d, ms) = (57241967039097307091, 18850510988230256803, 47186721370016358427, 'xQhAnqae')
(n, e, d, ms) = (48563662414376037251, 9848851667469695963, 6430852052299013531, 'tSuxdzAb')
(n, e, d, ms) = (25246157809425837379, 8334396298150258801, 1542926027057340481, 'sJaCHkh7')
(n, e, d, ms) = (39488652796636880099, 12429523833679604231, 15570881934121073591, 'tbcrw9Hk')
(n, e, d, ms) = (36421206322963484411, 1124563396042368919, 14684569227719454799, 'BX4WasEh')
(n, e, d, ms) = (42135126951998992349, 18241268252242689517, 19796948333252131813, 'iHl5IV1b')
(n, e, d, ms) = (42824467897431450469, 18177474492263465369, 15072296751793884329, 'fUfh7RLa')
(n, e, d, ms) = (37163007634631434487, 25325792640347461193, 15820840871574009881, 'tHqDH27g')
(n, e, d, ms) = (27572866546725151831, 22463863919274392563, 22835644194064454827, 'M6xceLCc')
(n, e, d, ms) = (51438801303552424109, 46908421695617139227, 26399302311287121683, 'NlI66LVc')
(n, e, d, ms) = (36059854534395324181, 29559979349531898395, 17446638797365027827, 'AL9PIoJH')
(n, e, d, ms) = (54175922030919750577, 44324668899997131445, 2018225064138829357, 'V23vQggt')
(n, e, d, ms) = (40879680496792047181, 16739512222798365487, 38634488576589275023, 'fjwwHKI6')
(n, e, d, ms) = (34815378385462763927, 27714826705910720291, 16770043145744976971, 'CHadCchw')
(n, e, d, ms) = (33286066086661477891, 9578154168102643503, 26723739303412062167, 'R1OeZuSq')
(n, e, d, ms) = (49515154374888668069, 44159221011887513623, 33657135604363574047, 'Yv96vNyn')
(n, e, d, ms) = (40826565577872768427, 37009384573968771407, 7543341448017516783, 'ioLc1Ub7')
